beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4,success
0.01,3.2473684210526317,0.6108652381980153,0.9108538385725994,0.35346201482719475,0.008169039793880008,1.0081359430101569,1.3323660839769014,0.3974979076083359,-0.13061107441566325,true
0.01,3.2473684210526317,0.7853981633974483,0.8019807491235502,0.2972009139334839,0.005206527720354529,1.0051930438680288,1.011008180080756,0.4915430062650416,-0.1417715065167875,true
0.01,4.821052631578947,-0.7853981633974483,0.9321864803658461,0.37813593492177655,0.007177915777835123,1.0071523378042524,1.1467568215694113,0.3834503745121521,0.1647888461959539,true
0.01,4.821052631578947,-0.6108652381980153,1.0199132515325748,0.43850465328580507,0.011143185643527315,1.0110817826897112,1.5509411475399169,0.29656190536230265,0.14624955206292495,true
0.01,4.821052631578947,-0.4363323129985824,1.0734358352987934,0.4793553657305197,0.014944877982794298,1.0148348417179225,1.92676524943721,0.2448997274896211,0.11341339680811181,true
0.01,4.821052631578947,-0.2617993877991494,1.1048480703908543,0.5043939876433066,0.017957453794713748,1.0177990506923678,2.219125388296102,0.21572401981787742,0.07148893062778629,true
0.01,4.821052631578947,-0.08726646259971647,1.119707151551621,0.5162320822865554,0.019611831569257162,1.0194232011969229,2.3780576624618512,0.2026557398611346,0.02439722711320472,true
0.01,4.821052631578947,0.08726646259971647,1.119707151551621,0.5162320822865554,0.019611831569257162,1.0194232011969229,2.3780576624618512,0.2026557398611346,-0.02439722711320472,true
0.01,4.821052631578947,0.2617993877991494,1.1048480703908456,0.5043939876433085,0.017957453794712138,1.0177990506923662,2.2191253882959656,0.21572401981789105,-0.07148893062778573,true
0.01,4.821052631578947,0.4363323129985824,1.0734358352987934,0.4793553657305197,0.014944877982794298,1.0148348417179225,1.92676524943721,0.2448997274896211,-0.11341339680811181,true
0.01,4.821052631578947,0.6108652381980153,1.0199132515325748,0.43850465328580507,0.011143185643527315,1.0110817826897112,1.5509411475399169,0.29656190536230265,-0.14624955206292495,true
0.01,4.821052631578947,0.7853981633974483,0.9321864803658461,0.37813593492177655,0.007177915777835123,1.0071523378042524,1.1467568215694113,0.3834503745121521,-0.1647888461959539,true
0.01,6.394736842105263,-0.7853981633974483,1.0087066597567995,0.4383236944758024,0.008829416462962252,1.0087907775754095,1.265125180604352,0.31393380124908093,0.17831583225209086,true
0.01,6.394736842105263,-0.6108652381980153,1.080674271180439,0.49815275075345505,0.013305040790319021,1.013217687163285,1.7102523461616292,0.24036756985867616,0.1549623243497856,true
0.01,6.394736842105263,-0.4363323129985824,1.1235952749989302,0.5374934345044666,0.017565894997327434,1.0174142666559454,2.1236187053952036,0.19738633020504096,0.11871297049893605,true
0.01,6.394736842105263,-0.2617993877991494,1.149367709902715,0.5610911080480726,0.020853456730113105,1.0206404427916724,2.437682843105424,0.17391656744812548,0.0743695632376429,true
0.01,6.394736842105263,-0.08726646259971647,1.161841090049071,0.572124123891963,0.022631199223065557,1.0223807502350628,2.605998393572528,0.16356406826200928,0.025315280602253257,true
0.01,6.394736842105263,0.08726646259971647,1.161841090049229,0.5721241238919339,0.022631199223088875,1.0223807502350857,2.6059983935747133,0.16356406826188685,-0.02531528060226096,true
0.01,6.394736842105263,0.2617993877991494,1.149367709902705,0.5610911080480745,0.020853456730110468,1.0206404427916698,2.437682843105195,0.17391656744814302,-0.07436956323764216,true
0.01,6.394736842105263,0.4363323129985824,1.123595274998932,0.5374934345044663,0.01756589499732783,1.0174142666559456,2.123618705395245,0.1973863302050372,-0.11871297049893617,true
0.01,6.394736842105263,0.6108652381980153,1.080674271180439,0.49815275075345505,0.013305040790319021,1.013217687163285,1.7102523461616292,0.24036756985867616,-0.1549623243497856,true
0.01,6.394736842105263,0.7853981633974483,1.0087066597567995,0.4383236944758024,0.008829416462962252,1.0087907775754095,1.265125180604352,0.31393380124908093,-0.17831583225209086,true
0.01,7.968421052631578,-0.7853981633974483,1.0592553117011738,0.4843806750385102,0.010094495546250928,1.0100440540354327,1.3553897469589027,0.26899858394979015,0.18725165351866685,true
0.01,7.968421052631578,-0.6108652381980153,1.1189854075949686,0.542531120937591,0.014973719546062818,1.0148632612842228,1.833806217005954,0.2043490580221887,0.1604559152276007,true
0.01,7.968421052631578,-0.4363323129985824,1.1552114733135839,0.5798843130787674,0.019498695079863376,1.0193122142691269,2.2681721131182533,0.16786826505140734,0.12205336618096724,true
0.01,7.968421052631578,-0.2617993877991494,1.1776972062953057,0.6019964853567188,0.022925961026625412,1.0226690188201064,2.592572664112184,0.14828586416833897,0.076202616996005,true
0.01,7.968421052631578,-0.08726646259971647,1.1888369425775933,0.6122687699394165,0.024760604566621658,1.0244614239290692,2.764768019208719,0.1397063849418459,0.025903492515982802,true
0.01,7.968421052631578,0.08726646259971647,1.1888369425776804,0.6122687699394023,0.024760604566681527,1.0244614239291276,2.7647680192143884,0.13970638494143822,-0.02590349251599626,true
0.01,7.968421052631578,0.2617993877991494,1.1776972062953057,0.6019964853567188,0.022925961026625412,1.0226690188201064,2.592572664112184,0.14828586416833897,-0.076202616996005,true
0.01,7.968421052631578,0.4363323129985824,1.1552114733135797,0.5798843130787682,0.01949869507986245,1.019312214269126,2.2681721131181716,0.16786826505141517,-0.1220533661809666,true
0.01,7.968421052631578,0.6108652381980153,1.1189854075949501,0.5425311209375948,0.014973719546060936,1.0148632612842208,1.83380621700579,0.2043490580222041,-0.16045591522759795,true
0.01,7.968421052631578,0.7853981633974483,1.0592553117011847,0.4843806750385076,0.010094495546251955,1.0100440540354338,1.3553897469589975,0.2689985839497715,-0.18725165351866876,true
0.01,9.542105263157895,-0.7853981633974483,1.0946438034431565,0.5210068444305237,0.011135611209494162,1.0110742912463835,1.4302889876305251,0.23680480605267648,0.19350751410922443,true
0.01,9.542105263157895,-0.6108652381980153,1.1455517144795972,0.5770191273878652,0.016288702536904415,1.016158159478287,1.9310985955406579,0.17942411043539533,0.1642653675039811,true
0.01,9.542105263157895,-0.4363323129985824,1.1773999539662643,0.612417469216749,0.020967707845625756,1.0207523772653215,2.3771747091436355,0.14776746173907535,0.12439768013125783,true
0.01,9.542105263157895,-0.2617993877991494,1.1978269595588578,0.6331984500909896,0.024467132309994012,1.0241749189602178,2.7063687074208653,0.1309145748626553,0.07750510688259217,true
0.01,9.542105263157895,-0.08726646259971647,1.208146162472886,0.6428148360006759,0.026328409141395392,1.0259906521423712,2.880037134532855,0.12354909029596689,0.026324219019126977,true
0.01,9.542105263157895,0.08726646259971647,1.208146162472883,0.6428148360006763,0.026328409141394747,1.0259906521423705,2.8800371345327878,0.1235490902959683,-0.026324219019126884,true
0.01,9.542105263157895,0.2617993877991494,1.1978269595588538,0.6331984500909903,0.024467132309991334,1.0241749189602152,2.7063687074206055,0.1309145748626814,-0.07750510688259048,true
0.01,9.542105263157895,0.4363323129985824,1.1773999539662643,0.612417469216749,0.020967707845625756,1.0207523772653215,2.3771747091436355,0.14776746173907535,-0.12439768013125783,true
0.01,9.542105263157895,0.6108652381980153,1.145551714479604,0.577019127387864,0.016288702536905703,1.0161581594782882,1.9310985955407705,0.1794241104353857,-0.16426536750398207,true
0.01,9.542105263157895,0.7853981633974483,1.0946438034431565,0.5210068444305237,0.011135611209494162,1.0110742912463835,1.4302889876305251,0.23680480605267648,-0.19350751410922443,true
0.01,11.11578947368421,-0.7853981633974483,1.1207964932341419,0.5509360179697101,0.012007047256253574,1.0119358154113105,1.4932940827541772,0.21264142898964009,0.19813070023821702,true
0.01,11.11578947368421,-0.6108652381980153,1.165276893401761,0.6047427074062804,0.017346565643686564,1.0171986685438588,2.0090890181345804,0.1611555368778292,0.16709384197087634,true
0.01,11.11578947368421,-0.4363323129985824,1.1941160800219344,0.6383592132631806,0.02211769560592053,1.0218783641959932,2.4617355346826755,0.13314097173801187,0.12616381535194007,true
0.01,11.11578947368421,-0.2617993877991494,1.2131774533781448,0.6579825767757164,0.025652573309022136,1.025331725159571,2.7927897926541623,0.11829156065200133,0.07849835746679641,true
0.01,11.11578947368421,-0.08726646259971647,1.2229660308944301,0.6670394236329567,0.02752354428864175,1.027154851313697,2.9666205529864724,0.1118085562020323,0.02664712819450281,true
0.01,11.11578947368421,0.08726646259971647,1.2229660308944301,0.6670394236329567,0.02752354428864175,1.027154851313697,2.9666205529864724,0.1118085562020323,-0.02664712819450281,true
0.01,11.11578947368421,0.2617993877991494,1.2131774533781448,0.6579825767757164,0.025652573309022136,1.025331725159571,2.7927897926541623,0.11829156065200133,-0.07849835746679641,true
0.01,11.11578947368421,0.4363323129985824,1.1941160800219344,0.6383592132631806,0.02211769560592053,1.0218783641959932,2.4617355346826755,0.13314097173801187,-0.12616381535194007,true
0.01,11.11578947368421,0.6108652381980153,1.165276893401761,0.6047427074062804,0.017346565643686564,1.0171986685438588,2.0090890181345804,0.1611555368778292,-0.16709384197087634,true
0.01,11.11578947368421,0.7853981633974483,1.1207964932341279,0.5509360179697129,0.012007047256251907,1.011935815411309,1.493294082754028,0.2126414289896595,-0.1981307002382146,true
0.01,12.689473684210526,-0.7853981633974483,1.1409729401739974,0.5759365273780817,0.012746165207993588,1.0126659520369288,1.5468610627058945,0.19384944427718717,0.20169742612270256,true
0.01,12.689473684210526,-0.6108652381980153,1.1806749149986855,0.6276264338452158,0.018213422309577152,1.0180505118207852,2.0726690070261737,0.14716800717345577,0.16930182753274967,true
0.01,12.689473684210526,-0.4363323129985824,1.2073663585654344,0.6596529276578049,0.023038485663754743,1.0227790432573538,2.528760779235563,0.12198037913265038,0.12756376814067896,true
0.01,12.689473684210526,-0.2617993877991494,1.2254656001275814,0.6782748740607352,0.026589319705073364,1.0262449217463325,2.8601893378354175,0.10865106165839189,0.07929345910791595,true
0.01,12.689473684210526,-0.08726646259971647,1.2348831005111016,0.6868539824405546,0.028462260800593196,1.028068344810496,3.0336396396815686,0.10283172689810524,0.026906788458442455,true
0.01,12.689473684210526,0.08726646259971647,1.2348831005111016,0.6868539824405546,0.028462260800593196,1.028068344810496,3.0336396396815686,0.10283172689810524,-0.026906788458442455,true
0.01,12.689473684210526,0.2617993877991494,1.2254656001275763,0.6782748740607358,0.026589319705071522,1.0262449217463308,2.86018933783525,0.10865106165839813,-0.07929345910791563,true
0.01,12.689473684210526,0.4363323129985824,1.2073663585654626,0.6596529276578009,0.02303848566375826,1.0227790432573571,2.5287607792358227,0.12198037913265652,-0.12756376814068515,true
0.01,12.689473684210526,0.6108652381980153,1.1806749149986884,0.6276264338452153,0.018213422309577905,1.0180505118207859,2.072669007026242,0.14716800717344977,-0.16930182753275017,true
0.01,12.689473684210526,0.7853981633974483,1.1409729401739808,0.5759365273780848,0.012746165207992958,1.012665952036928,1.5468610627058414,0.19384944427719272,-0.20169742612269956,true
0.01,14.263157894736842,-0.7853981633974483,1.1570991466148555,0.5971972382927553,0.013379298998193088,1.0132909740031402,1.5927527397997518,0.17882534857621948,0.20454816329553924,true
0.01,14.263157894736842,-0.6108652381980153,1.1931520681381058,0.6469180350798198,0.01893553336790969,1.0187595725860796,2.1253150691437726,0.13608702892152363,0.1710909778188181,true
0.01,14.263157894736842,-0.4363323129985824,1.2182551697428488,0.6775327788830935,0.02379088850334991,1.0235144244253855,2.5829601733763905,0.113147139008256,0.12871422053649148,true
0.01,14.263157894736842,-0.2617993877991494,1.235648959359197,0.6952835284333146,0.027346191435805974,1.0269821726162907,2.9139266983490915,0.10100923606852259,0.07995237093668095,true
0.01,14.263157894736842,-0.08726646259971647,1.244789921985237,0.7034513435199705,0.029217523971822056,1.0288027254754513,3.086784905451159,0.09570482315628095,0.027122647558082035,true
0.01,14.263157894736842,0.08726646259971647,1.244789921985237,0.7034513435199705,0.029217523971822056,1.0288027254754513,3.086784905451159,0.09570482315628095,-0.027122647558082035,true
0.01,14.263157894736842,0.2617993877991494,1.235648959359197,0.6952835284333146,0.027346191435805974,1.0269821726162907,2.9139266983490915,0.10100923606852259,-0.07995237093668095,true
0.01,14.263157894736842,0.4363323129985824,1.218255169742853,0.6775327788830929,0.02379088850335093,1.0235144244253864,2.582960173376471,0.11314713900825209,-0.12871422053649179,true
