name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_00_ct_19,8.0,0.0,1.1598255969459625,0.4416152278278168,0.08347984943202043,-0.0033853127001543066,0.6192399710864528,0.007196747294855763,-0.08004160087727391,-0.08723834817212968,3.0,0.0033853127001543066,0.9165201505679795
yaw_00_ct_21,8.8,0.0,1.1683839225434909,0.42573271298618837,0.07972039370876971,-0.008062384758932842,0.6356225853746791,0.00728618118836619,-0.08743057748032516,-0.09471675866869135,2.9000000000000004,0.008062384758932842,0.9202796062912303
yaw_00_ct_23,9.6,0.0,1.1765876151224053,0.4119085364730554,0.07730083927562784,-0.0032330943606401537,0.6499125681939097,0.007335753568598999,-0.09242690208929993,-0.09976265565789894,2.8000000000000007,0.0032330943606401537,0.9226991607243722
yaw_02_ct_00,0.4,10.0,0.3220298004242847,0.28894427810337464,0.8251870296077738,-0.014245544587179209,0.0888988877684116,0.0009837339858942333,-0.0005490885776182164,-0.0015328225635124497,7.700000000000001,0.014245544587179209,0.1748129703922262
yaw_02_ct_01,0.8,10.0,0.5449441425101135,0.4497622384220381,0.6794806138776742,-0.02314368958910963,0.16193145262303088,0.0018842050740227093,-0.001226568882791887,-0.003110773956814596,8.0,0.02314368958910963,0.3205193861223258
yaw_02_ct_02,1.2,10.0,0.7023966318102093,0.5373818665525147,0.5560392778549204,-0.028398752574133254,0.223128609492392,0.0026819703372519535,-0.0018583331583983988,-0.004540303495650352,6.9,0.028398752574133254,0.44396072214507964
yaw_02_ct_03,1.6,10.0,0.814360952462455,0.5809856706389896,0.4521346262123064,-0.03120385761639358,0.2755690099000474,0.0033433065856527697,-0.00494401327904206,-0.00828731986469483,5.600000000000001,0.03120385761639358,0.5478653737876936
yaw_02_ct_04,2.0,10.0,0.8943933695791619,0.5981055861883666,0.3667947270143378,-0.03277990107377278,0.3209561367623307,0.00393848254503853,-0.009232807840402308,-0.013171290385440838,4.700000000000001,0.03277990107377278,0.6332052729856622
yaw_02_ct_05,2.4,10.0,0.9519011618110478,0.5994903055795476,0.30164732247236287,-0.03396549873344927,0.3605025035426688,0.004434660187889345,-0.015647042842824577,-0.020081703030713924,4.1,0.03396549873344927,0.6983526775276372
yaw_02_ct_06,2.8,10.0,0.9936076271489142,0.5918932117520537,0.2504130749681145,-0.03432744231583494,0.39510919382517695,0.004873555465222777,-0.022395404717892302,-0.02726896018311508,4.9,0.03432744231583494,0.7495869250318855
